model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
78,1.60087364,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,TRUE,0.5,0.5
79,2.059972879,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,TRUE,0.5,0.5
80,1.62767253,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,TRUE,0.5,0.5
81,2.416352778,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,TRUE,0.5,0.5
82,1.493904604,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,TRUE,0.5,0.5
83,2.361033972,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,TRUE,0.5,0.5
84,2.496042758,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,TRUE,0.5,0.5
85,2.771015258,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,TRUE,0.5,0.5
86,2.42185829,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,TRUE,0.5,0.5
87,2.034124115,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,TRUE,0.5,0.5
88,1.657166239,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,TRUE,0.5,0.5
89,2.32254115,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,TRUE,0.5,0.5
90,2.791421962,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,TRUE,0.5,0.5
91,1.1733912,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,TRUE,0.5,0.5
92,2.123649256,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,TRUE,0.5,0.5
